srcid,sc_ra,sc_dec,Class_x,Px,Class_xo,Pxo,Class_xi,Pxi,Class_xio,Pxio,GAL_LONG,GAL_LAT,GLIMPSE,RAdeg,DEdeg,errHalfMaj,errHalfMin,errPosAng,3.6mag,4.5mag,5.8mag,8.0mag,e_3.6mag,e_4.5mag,e_5.8mag,e_8.0mag,C,F(3.6),e_F(3.6),F(4.5),e_F(4.5),F(5.8),e_F(5.8),F(8.0),e_F(8.0),q_3.6mag,q_4.5mag,q_5.8mag,q_8.0mag,angDist
208016808010001,267.368036002543,-29.3164781889618,STAR,0.93,,,,,,,0.10999326939308156,-0.9166547121353393,G000.1099-00.9166,267.367983,-29.316486,0.3,0.3,90.0,,9.985,,,,0.158,,,A,,,18.22,2.645,,,,,,00000140,,,0.168414
208016808010015,267.14690974942,-29.2086144105875,QSO,0.53,,,,,,,0.10314312827453623,-0.6957448082086373,G000.1032-00.6958,267.147057,-29.208584,0.3,0.3,90.0,12.082,12.149,,,0.047,0.063,,,C,4.128,0.1769,2.482,0.1439,,,,,00100440,00100400,,,0.475687
208016808010062,267.26022925936,-29.368236584803,GALAXY,0.603,,,,,,,0.017253775877257318,-0.862693025388943,G000.0173-00.8625,267.260198,-29.368085,0.3,0.3,90.0,11.578,11.567,11.367,11.328,0.114,0.085,0.092,0.082,C,6.565,0.6903,4.244,0.3315,3.266,0.2769,1.887,0.1425,00004440,00004400,00008000,00000200,0.554289
208016808010095,267.28850479831,-29.390429024909,GALAXY,0.698,,,,,,,0.010907864755021979,-0.8952403113566925,G000.0110-00.8953,267.288652,-29.390386,0.3,0.3,90.0,13.447,13.158,,,0.262,0.168,,,C,1.175,0.2831,0.9807,0.152,,,,,00004140,00004200,,,0.486858
208016812010009,267.34403836584,-29.247350889203,QSO,0.475,,,,,,,0.15852868487020916,-0.8631609278933656,G000.1584-00.8631,267.34398,-29.247393,0.3,0.3,90.0,11.751,11.753,11.723,12.046,0.053,0.116,0.124,0.32,C,5.599,0.2712,3.574,0.3834,2.353,0.2679,0.9741,0.2869,00100040,00080480,00000200,00000400,0.23774
208016812010013,267.23336040313,-29.192851472821,GALAXY,0.714,,,STAR,1.0,,,0.1555461139503238,-0.7522927772511686,G000.1556-00.7522,267.233361,-29.192753,0.3,0.3,90.0,12.642,12.561,,,0.037,0.051,,,A,2.464,0.085,1.699,0.08035,,,,,00000340,00084240,,,0.354661
208016812010039,267.13390631805,-29.248305955325,QSO,0.458,,,,,,,0.06328159735002323,-0.706491353100067,G000.0632-00.7063,267.133777,-29.248246,0.3,0.3,90.0,13.883,13.646,,,0.095,0.14,,,C,0.7858,0.06872,0.6255,0.08082,,,,,00000540,00004640,,,0.460323
208016812010041,267.37157139827,-29.171121980371,QSO,0.435,,,STAR,1.0,,,0.23627521555153755,-0.8445812605785286,G000.2362-00.8444,267.371417,-29.171036,0.3,0.3,90.0,9.582,9.585,9.64,9.667,0.054,0.058,0.045,0.046,C,41.29,2.069,26.34,1.413,16.02,0.6606,8.713,0.3677,00000540,00000400,00000000,00000000,0.575508
208016812010080,267.11229153458,-29.146996306952,QSO,0.395,,,,,,,0.14034493914473423,-0.638068236642335,G000.1403-00.6381,267.112323,-29.147029,0.3,0.3,90.0,12.86,12.892,,,0.169,0.089,,,A,2.016,0.3142,1.252,0.103,,,,,00000340,00000600,,,0.153961
208016812010097,267.38900751375,-29.115119014474,QSO,0.388,,,,,,,0.29214779518497047,-0.8288596419426011,G000.2921-00.8289,267.38913,-29.115149,0.3,0.3,90.0,12.688,12.797,,,0.093,0.068,,,A,2.363,0.2016,1.367,0.08594,,,,,00100200,00102600,,,0.400442
