ALPHA_J2000   DELTA_J2000   MAG_AUTO_J   MAGERR_AUTO_J   MAG_AUTO_H   MAGERR_AUTO_H   MAG_AUTO_Ks   MAGERR_AUTO_Ks   MAG_PSF_J   MAGERR_PSF_J   MAG_PSF_H   MAGERR_PSF_H   MAG_PSF_Ks   MAGERR_PSF_Ks   MAG_APER_J   MAGERR_APER_J   MAG_APER_H   MAGERR_APER_H   MAG_APER_Ks   MAGERR_APER_Ks   TILE_ID   ra          dec          J_auto_Oct   A_Ks   Separation            
  177.45321     -64.0019      13.14726     0.00740         11.76314     0.00386         11.55961      0.00586          14.28003    0.00683        13.4242     0.00388        13.14253     0.00505         14.18257     0.00705         13.25848     0.00376         12.98996      0.00516          d002      177.4532    -64.001901   13.15        0.77   0.01618571870820447   
  177.52239     -63.99682     14.51476     0.02798         13.72814     0.01701         13.59238      0.02762          16.07152    0.02391        15.50192    0.01487        15.39272     0.02652         16.04099     0.02731         15.32143     0.01518         15.20758      0.02796          d002      177.52238   -63.996821   14.51        0.79   0.016188515678636408  
  177.62435     -64.16457     15.25052     0.03998         14.14718     0.02188         13.73784      0.03024          16.93654    0.03995        16.26401    0.02593        15.7512      0.03358         16.71317     0.03989         15.92029     0.02308         15.51324      0.03379          d002      177.62434   -64.164571   15.25        0.7    0.016096104993145992  
  177.69708     -64.1226      15.86593     0.04591         15.1252      0.03122         14.65165      0.04843          16.65095    0.03361        16.07035    0.02232        15.78116     0.03503         16.51536     0.03546         15.86328     0.02228         15.57527      0.03618          d002      177.69707   -64.122601   15.87        0.72   0.016119235244459174  
  177.73561     -63.42301     14.24365     0.04612         12.92724     0.01636         12.73917      0.02104          15.25073    0.03683        14.42453    0.01232        14.10596     0.01499         15.09119     0.03833         14.23569     0.01315         13.94477      0.01573          d002      177.7356    -63.423011   14.24        1.37   0.016503819681187522  
  177.85692     -64.27358     16.15266     0.05526         14.51587     0.02768         14.27621      0.04032          16.91491    0.04700        15.84751    0.02026        15.46765     0.0288          16.72346     0.04742         15.72816     0.0217          15.40151      0.03292          d002      177.85691   -64.273581   16.15        0.79   0.016035997839419416  
  177.92723     -64.02951     15.46572     0.03519         14.85919     0.02563         14.46091      0.04042          15.95439    0.02207        15.53633    0.01539        15.4372      0.02759         15.87605     0.02411         15.38281     0.01587         15.34969      0.03146          d002      177.92722   -64.029511   15.47        0.79   0.01617051544506811   
  177.94405     -63.95975     15.58400     0.04938         15.32845     0.04644         14.9453       0.05739          16.38520    0.03264        16.0436     0.02434        15.95509     0.0436          16.46601     0.04075         16.08244     0.03064         15.73913      0.04524          d002      177.94404   -63.959751   15.58        0.81   0.016208922876856362  
  178.17673     -63.62732     14.24608     0.03892         13.37933     0.01686         13.29683      0.0238           15.15991    0.02586        14.49216    0.01121        14.283       0.01534         15.10929     0.02907         14.36007     0.01192         14.17532      0.01677          d002      178.17672   -63.627321   14.25        1.22   0.016391696584809278  
  178.21672     -64.27802     15.99629     0.05892         15.22901     0.03841         14.7322       0.04942          16.98560    0.05192        16.06837    0.025          15.72812     0.03647         16.83726     0.05447         15.93966     0.02692         15.55018      0.03814          d002      178.21671   -64.278021   16.0         0.81   0.016033548734964067  
  178.31429     -64.30746     15.51652     0.05564         14.75232     0.03013         14.46845      0.04149          16.64681    0.04639        15.69818    0.02036        15.43053     0.03053         16.54402     0.05059         15.56173     0.0217          15.24443      0.03164          d002      178.31428   -64.307461   15.52        0.89   0.016017307858430363  
  178.36694     -63.64371     13.41652     0.02491         12.76768     0.0098          12.15861      0.00982          14.65031    0.01783        13.53543    0.00655        13.00547     0.0065          14.56236     0.01927         13.58094     0.00742         13.01352      0.00717          d002      178.36693   -63.643711   13.42        1.24   0.016382694987635827  
  178.4168      -63.32564     14.39511     0.04131         14.26557     0.02817         14.22431      0.04319          15.32677    0.02857        15.07541    0.01627        15.03462     0.02784         15.53564     0.03935         15.01364     0.01939         15.01833      0.03327          d002      178.41679   -63.325641   14.4         1.18   0.016557198476519795  
  178.88978     -63.55471     14.85421     0.06582         14.42903     0.03539         14.25602      0.04958          15.86873    0.05570        15.45754    0.0277         15.23358     0.03599         15.62363     0.05467         15.17146     0.02656         15.05383      0.03823          d002      178.88977   -63.554711   14.85        1.3    0.01643156255360045   
  178.95388     -64.44        15.80191     0.03645         15.4526      0.03311         15.41575      0.07102          16.91591    0.02947        16.62877    0.027          16.45336     0.05482         16.77534     0.03089         16.33193     0.02576         16.24474      0.05523          d002      178.95387   -64.440001   15.8         0.53   0.015944152204876928  
  179.06023     -64.23621     15.93093     0.04025         15.14623     0.02856         14.73464      0.04362          16.69867    0.02836        16.21477    0.02156        15.97016     0.03773         16.59327     0.03034         15.9949      0.02169         15.66235      0.03564          d002      179.06022   -64.236211   15.93        0.61   0.016056608208988805  
  179.20725     -63.5348      12.80963     0.03761         11.98726     0.01078         11.28298      0.00753          14.06630    0.02613        13.03732    0.00783        12.28228     0.00555         13.99636     0.02892         12.89873     0.00788         12.20614      0.00581          d002      179.20724   -63.534801   12.81        1.7    0.016442490388259273  
  179.32239     -64.3204      15.63745     0.03640         15.11363     0.03151         15.20033      0.05711          16.71156    0.02683        16.30656    0.02164        16.25629     0.04742         16.60260     0.02884         16.15648     0.02324         16.072        0.04926          d002      179.32238   -64.320401   15.64        0.57   0.016010168422727674  
