srcid,sc_ra,sc_dec,Class_x,Px,Class_xo,Pxo,Class_xi,Pxi,Class_xio,Pxio,GAL_LONG,GAL_LAT,Source,RA_ICRS,DE_ICRS,rgeo,b_rgeo_x,B_rgeo_xa,rpgeo,b_rpgeo_x,B_rpgeo_xa,Flag,angDist
205023702010108,269.00233805645,-21.869968725371,STAR,0.451,,,,,,,7.271253973559791,1.602131334972877,4070369166758485888,269.00229033097,-21.86992877792,4355.43506,2438.35596,7312.74561,,,,20099,0.21472
205023702010113,269.1818833199,-22.102799027194,STAR,0.505,,,STAR,1.0,,,7.1535091509579845,1.3412227582654792,4070348825812624512,269.18170221921,-22.10276301328,276.76709,275.671387,277.94104,276.387329,275.260681,277.695038,10033,0.617807
205023702010117,269.16619235181,-22.034088082961,GALAXY,0.618,,,STAR,1.0,,,7.205659273388677,1.3882817975432464,4070351467177653248,269.16613113485,-22.03400767947,565.559631,560.312439,571.411072,565.211365,560.245361,569.900635,10033,0.354281
205023702010119,268.89474339221,-21.893964136311,QSO,0.413,,,,,,,7.200258041665893,1.6763477625907348,4070370605553940864,268.89457243569,-21.89392993576,8580.92676,6223.82764,11466.8975,4916.33643,4049.25464,5836.83398,10033,0.584177
205023702010128,268.89646057255,-22.016125085947,GALAXY,0.483,,,STAR,1.0,,,7.095464269803397,1.613473686680691,4070360027088596352,268.89653057022,-22.01626431742,6514.15186,3303.28247,9048.23828,8964.9873,6325.54248,10266.0908,10033,0.553002
205023702015034,269.008068205289,-21.9546373425939,GALAXY,0.697,,,STAR,1.0,,,7.200710348985428,1.5549676814240267,4070366349249236992,269.00820783763,-21.95471766718,6283.5127,3334.79297,8857.03418,,,,20099,0.548618
205023703010012,269.11959256244,-22.014545117619,QSO,0.679,,,,,,,7.200874016406599,1.4354539299645683,4070354662634806016,269.11976679148,-22.01462043276,3286.09253,1692.02795,6838.44629,2615.02881,1807.14771,3633.49072,10033,0.641598
205023703010017,269.18240414406,-22.012271123119,QSO,0.703,,,,,,,7.232079845106888,1.3862302840608582,4070351604618106752,269.18223952639,-22.012331006,790.316223,744.09967,843.437561,817.221558,764.420776,872.334961,10033,0.590203
205023703010055,269.12449782462,-21.894070108413,GALAXY,0.546,,,STAR,1.0,,,7.307381253798695,1.4920095429348885,4070356728522162176,269.12433232957,-21.89397336753,7319.30518,4164.41113,10382.6035,5142.1626,3712.51758,8157.10938,10033,0.653369
205031701010002,271.003013513141,-21.7146142487123,STAR,0.547,,,STAR,1.0,,,8.329458116329805,0.06732292866819765,4069963893647940992,271.00295324404,-21.71460164685,197.937607,197.274963,198.785065,197.790085,196.881714,198.624664,10033,0.206614
205031701010077,271.03132066465,-21.557767275884,GALAXY,0.685,,,,,,,8.479004198273426,0.12144652864611857,4070062884036166272,271.03130007932,-21.55772078939,3544.53955,1879.55994,5072.93555,3915.32959,2831.60107,4981.58203,10133,0.180989
205031701010081,271.144185014967,-21.4797696680934,GALAXY,0.484,,,,,,,8.598494367609844,0.06824670376362135,4070062158186594432,271.1442720027,-21.4797363054,3314.7417,2165.22949,4773.58838,3919.57275,2831.18677,5132.55273,20033,0.315187
205031701010096,271.027176321329,-21.7554463799346,QSO,0.502,,,STAR,1.0,,,8.304916987240675,0.02771518057157463,4069916786443217024,271.0272416765,-21.75526524785,1149.74097,1075.21924,1232.13,1156.73804,1081.13953,1262.19897,10033,0.687716
