srcid,sc_ra,sc_dec,Class_x,Px,Class_xo,Pxo,Class_xi,Pxi,Class_xio,Pxio,GAL_LONG,GAL_LAT,srcid_x,RAJ2000,DEJ2000,iauname,PriOrSec,mClass,Zmag3,e_Zmag3,Zperrbits,Ymag3,e_Ymag3,Yperrbits,Jmag3,e_Jmag3,Jperrbits,Hmag3,e_Hmag3,Hperrbits,Ksmag3,e_Ksmag3,Ksperrbits,angDist
202026705010102,266.370610305841,-29.1285575754084,GALAXY,0.957,,,,,,,359.82014559360954,-0.07460595708002997,515535418443,266.37066,-29.12856,VVV J174528.95-290742.81,0,-1,,,0,,,0,16.054,0.017,16,,,0,,,0,0.155443
202026705010133,266.381349847272,-28.9275224825026,GALAXY,0.59,,,,,,,359.99660587793045,0.02216734101965332,515534584481,266.381333,-28.927485,VVV J174531.51-285538.94,0,-1,11.164,0.001,16,11.005,0.001,16,11.146,0.001,16,11.245,0.001,16,10.388,0.002,16,0.146112
202026706010105,266.4377290735,-29.215538625632,QSO,0.622,,,,,,,359.776439251357,-0.1699477735098849,515534555554,266.437711,-29.215537,VVV J174545.05-291255.93,0,-2,19.499,0.13,0,18.183,0.078,0,17.258,0.048,0,16.254,0.114,16,,,0,0.056699
202026706010151,266.515690753253,-29.0467172856621,GALAXY,0.532,,,,,,,359.95603579578454,-0.14022260435717784,515534670906,266.515762,-29.046676,VVV J174603.78-290248.03,0,-1,17.954,0.034,4096,16.675,0.02,4096,15.536,0.011,4096,14.112,0.016,4112,12.534,0.013,4112,0.268888
202026706010185,266.298037158652,-29.043501015263,QSO,0.532,,,,,,,359.85964162341577,0.023866907147138464,515534806925,266.297972,-29.043535,VVV J174511.51-290236.72,0,-1,16.993,0.016,0,16.231,0.014,0,15.537,0.011,0,14.642,0.026,0,14.138,0.055,0,0.239395
202026707010100,266.48443461599,-29.2307287920762,GALAXY,0.667,,,,,,,359.7846910448906,-0.21265745296836455,515535103386,266.484418,-29.230737,VVV J174556.26-291350.65,0,1,,,0,,,0,17.392,0.055,0,14.858,0.031,0,13.617,0.034,16,0.058103
202026707010109,266.47361407046,-28.996033315793,GALAXY,0.735,,,,,,,359.98016993582223,-0.0824283957381207,515535529848,266.473695,-28.996034,VVV J174553.68-285945.72,0,-1,,,0,,,0,18.419,0.139,4096,14.917,0.033,4112,12.948,0.019,4112,0.253943
202026707015339,266.288183435636,-29.0168079845469,GALAXY,0.546,,,,,,,359.87791596233706,0.045145948689208695,515534717313,266.288163,-29.016802,VVV J174509.15-290100.48,0,1,16.999,0.016,0,16.401,0.016,0,15.679,0.012,16,,,0,,,0,0.068227
202026708010086,266.48029738659,-29.224700287532,GALAXY,0.56,,,,,,,359.7879595763966,-0.20643688728210793,515534664461,266.480342,-29.224684,VVV J174555.28-291328.86,0,-1,17.666,0.027,16,16.106,0.013,16,14.512,0.005,16,12.579,0.004,16,11.214,0.004,16,0.151644
202037501010032,269.783868804564,-33.7799976965329,QSO,0.586,,,,,,,357.28768725765445,-4.943503687336414,515619898631,269.783854,-33.779941,VVV J175908.12-334647.78,0,-1,15.94,0.02,0,15.452,0.017,0,14.957,0.015,0,14.265,0.014,0,14.02,0.016,0,0.207905
202037501010118,269.60467707734,-33.789019174189,GALAXY,0.535,,,,,,,357.20604789941746,-4.818421564526535,515619884105,269.604767,-33.789006,VVV J175825.14-334720.42,515396075672,-1,15.831,0.018,16,15.441,0.017,16,14.883,0.013,16,14.213,0.013,16,14.042,0.016,16,0.272144
202037501010119,269.80938620021,-33.951103696434,GALAXY,0.526,,,,,,,357.14868935612276,-5.046227857695742,515620721273,269.809386,-33.951043,VVV J175914.25-335703.75,0,1,,,0,,,0,16.945,0.086,16,,,0,16.42,0.141,16,0.220222
202037501010138,269.65998535768,-33.8669405932328,GALAXY,0.563,,,,,,,357.16082662878233,-4.896858911861181,515619762454,269.660014,-33.866983,VVV J175838.40-335201.13,0,-1,15.718,0.017,0,15.427,0.017,0,14.997,0.015,0,14.444,0.016,0,14.308,0.021,0,0.175718
