#      l               b                 jmag             hmag             kmag              id_obj       id_clu
       320.89660       -2.1490683        14.665680        13.704923        13.455364         1455         1480 
       320.91901       -2.1439058        15.610554        14.899955        14.664314         1456         1480 
       320.98005       -2.0211309        17.062912        16.137733        15.540221         1474         1480 
       320.98226       -2.0515784        14.360652        13.432314        12.970962         1477         1480 
       321.01296       -2.0615283        15.996708        15.119666        14.564172         1479         1480 
       321.01769       -2.0592149        15.596892        14.654331        14.420410         1480         1480 
       321.31057       -1.7638434        13.662885        12.901466        12.665825         1483         1537 
       321.30335       -1.8287150        15.277438        14.088774        13.500760         1485         1537 
       321.36596       -1.7830782        14.245708        13.804447        13.760777         1487         1537 
       321.36321       -1.9093721        16.433216        15.517845        15.172032         1490         1537 
       321.38005       -1.8948122        14.180918        13.468942        13.175504         1491         1537 
       321.36584       -1.9317834        16.212696        15.695340        15.465500         1495         1537 
       321.36182       -1.9943599        14.734981        14.184828        13.715540         1498         1537 
       321.49894       -1.9731586        13.878393        12.834309        12.733068         1504         1537 
       321.57739       -1.9350458        15.968439        14.998911        14.583311         1507         1537 
       321.63031       -1.8919564        15.669719        15.063881        15.052795         1510         1537 
       321.59437       -1.9869970        16.714195        15.661789        14.917315         1514         1537 
       321.61181       -1.9816298        15.893353        14.923932        14.844877         1516         1537 
       321.68617       -1.9865643        13.654250        13.060207        12.906415         1520         1537 
       321.70158       -2.0200337        14.632501        14.147020        13.889142         1523         1537 
       321.73825       -2.0322602        16.564150        15.413503        14.766960         1526         1537 
       321.87209       -1.9848861        15.708491        14.621614        14.190337         1537         1537 
       325.37575       -1.7823246        13.785208        13.193915        12.934739         1663         1686 
       325.37270       -1.7908687        13.624419        13.375998        12.836994         1664         1686 
       325.36064       -1.8435902        13.297861        12.518385        12.279531         1666         1686 
       325.46754       -1.9790829        15.341995        15.457745        14.938406         1681         1686 
       325.47783       -2.0168928        15.019195        14.421485        13.957496         1686         1686 
       325.87979       -1.3229147        14.531008        13.917611        13.942533         1668         1850 
       325.97978       -1.1988770        15.076566        14.784618        14.518124         1669         1850 
       325.92838       -1.2744030        14.049893        13.440751        13.144540         1670         1850 
       325.99522       -1.2657509        14.399725        13.309102        13.297014         1674         1850 
       325.94234       -1.3387791        15.593691        15.192461        15.068909         1675         1850 
       326.01147       -1.2659200        13.934413        13.487505        13.341550         1676         1850 
       326.07529       -1.2010338        14.872927        14.359662        14.317190         1677         1850 
       325.92368       -1.3930760        14.324806        14.292820        13.949987         1678         1850 
       325.95238       -1.3572840        16.134674        15.477110        15.384631         1679         1850 
       325.92514       -1.3919537        14.177478        13.665398        13.639728         1680         1850 
       326.09496       -1.2188442        15.949230        14.924495        14.330999         1684         1850 
       326.08837       -1.2986520        15.243468        14.839715        14.713222         1689         1850 
       326.02365       -1.3906601        16.205000        15.513922        15.506983         1690         1850 
       325.95187       -1.4846838        13.271192        12.355487        11.883270         1691         1850 
       326.09144       -1.3310935        14.585388        13.895909        13.808274         1692         1850 
       325.97002       -1.5023705        15.701553        15.265464        15.071518         1694         1850 
       326.03423       -1.4343022        14.702183        14.128414        14.014768         1695         1850 
       326.11724       -1.3715022        13.216038        12.728846        12.624331         1696         1850 
       326.10279       -1.3919542        14.929161        14.057445        13.492950         1697         1850 
       326.06571       -1.4557322        15.874108        15.377597        15.225584         1701         1850 
       326.08446       -1.4325440        15.094763        14.475851        14.407111         1702         1850 
       326.23937       -1.2463079        15.528696        14.524241        14.575853         1703         1850 
       325.97882       -1.5881565        16.163552        15.302227        15.082388         1706         1850 
       326.12913       -1.4036904        16.056427        14.632093        15.141677         1707         1850 
       325.88054       -1.7126039        15.227002        14.756635        14.701820         1708         1850 
       326.04655       -1.5331730        15.742494        15.211143        14.952056         1710         1850 
       326.02215       -1.5697737        15.455283        15.186755        14.877746         1711         1850 
       325.91419       -1.7083761        14.846203        14.601400        14.421134         1712         1850 
       325.93127       -1.6876751        15.061134        14.658602        14.312309         1713         1850 
       325.94203       -1.6752135        15.815126        15.293196        15.416608         1714         1850 
       326.02270       -1.5807919        16.368877        15.471311        14.666990         1715         1850 
       325.94275       -1.7116753        15.133846        15.251043        14.536820         1721         1850 
       326.07626       -1.5573057        16.319645        15.679196        15.090734         1722         1850 
       326.12763       -1.5017709        14.670518        14.847805        13.756823         1723         1850 
       326.10904       -1.5263048        15.547076        14.605658        14.299603         1724         1850 
       325.94464       -1.7672796        15.498278        15.197264        15.192152         1727         1850 
       326.01033       -1.7322677        14.717180        14.363071        14.260423         1730         1850 
       325.94304       -1.8342169        16.410347        16.182030        15.435047         1732         1850 
       325.97242       -1.8483329        14.037045        13.637810        13.687175         1737         1850 
       325.84096       -2.0293747        15.464375        15.050222        14.981937         1738         1850 
       325.84933       -2.0275522        16.436574        15.756471        14.999889         1739         1850 
       326.03139       -1.8174619        15.723133        15.360276        15.279630         1740         1850 
       325.95646       -1.9244039        15.568107        15.207005        14.547592         1742         1850 
       325.91515       -1.9911237        15.602242        14.868305        14.607360         1745         1850 
       326.07992       -1.8159147        15.730464        15.391542        14.901404         1747         1850 
       325.91232       -2.0471918        14.484250        14.128736        14.099605         1750         1850 
       325.89619       -2.0718384        16.123490        15.623410        15.486039         1751         1850 
       326.10906       -1.8289451        15.946651        15.612449        14.808020         1752         1850 
       325.88718       -2.1610608        14.877236        14.619897        14.560741         1755         1850 
       325.91759       -2.1239702        13.760941        13.390599        13.313273         1756         1850 
       326.11972       -1.8923877        15.781316        15.088112        14.753502         1757         1850 
       326.14248       -1.8675002        15.498276        14.445625        14.068971         1758         1850 
       326.08992       -1.9799208        15.899089        15.317103        14.747774         1760         1850 
       326.22358       -1.8214769        15.571609        14.679906        14.269763         1762         1850 
       326.10866       -2.0208050        15.016717        14.561687        14.576022         1764         1850 
       326.32166       -1.8922797        15.605682        14.697598        14.253565         1771         1850 
