name,P_AGN,P_CV,P_HM-STAR,P_HMXB,P_LM-STAR,P_YSO,e_P_AGN,e_P_CV,e_P_HM-STAR,e_P_HMXB,e_P_LM-STAR,e_P_YSO,P_LMXB,P_NS,e_P_LMXB,e_P_NS,Class,Class_prob,Class_prob_e,conf_flag,ra,dec,PU_X,significance,F_b,HR_hms,P_inter,P_intra,G,J,W3,cp_counts,CSC_flags,GLON,GLAT,PU_TeV,TeV_extent,HESS,true_Class
2CXO J150756.0-622239,0.0964574966532798,0.1623058902275769,0.0069528112449799,0.0,0.0002008032128514,0.0003915662650602,0.0975982062391943,0.1828113284938424,0.0161004005109056,0.0,0.0015236294137294,0.0019917642381891,0.3370414993306559,0.3966499330655957,0.29835390392801,0.2667335992194009,NS,0.3966499330655957,0.2667335992194009,0.0,226.98354166666667,-62.377580555555554,1.19,8.21,6.435317553595542e-14,0.5836974141901287,,0.71,,,,0,,317.969269,-3.4769879999999995,21.038880000000002,extent,J1507-622,
2CXO J163540.9-465922,0.0,0.1803313253012048,0.0535592369477911,0.0330321285140562,0.4338955823293173,0.1785240963855421,0.0,0.1151123142286959,0.041367424673779,0.0277541788584726,0.1647269253651739,0.0724081842571947,0.1136144578313253,0.007043172690763,0.0777005458535325,0.010657629610701,LM-STAR,0.4338955823293173,0.1647269253651739,0.0,248.9205,-46.98954166666667,1.27,8.91,8.879605197602124e-14,-0.6003249622563219,,0.953,14.178018,12.599,,8,,337.123077,0.255119,20.922719999999988,extent,J1634-472,
2CXO J163509.8-470615,1.004016064257028e-05,0.1117771084337349,0.1237751004016064,0.0484939759036144,0.1255421686746988,0.542058232931727,0.0003168621252622,0.1002206335793559,0.0722572569253903,0.0392638409978563,0.0755443044749815,0.1638067270953744,0.0444176706827309,0.0039257028112449,0.0447389103521023,0.0102408435389855,YSO,0.542058232931727,0.1638067270953744,0.0,248.79104166666664,-47.10443055555556,1.4,6.41,3.0043797884560804e-14,-0.47631135618819564,,0.885,16.232426,13.194,,8,,337.123077,0.255119,20.922719999999988,extent,J1634-472,
2CXO J163330.8-472535,4.0160642570281125e-05,0.0053012048192771,0.0568775100401606,0.2830220883534136,0.0912048192771084,0.5578012048192772,0.000632768166122,0.0085189495279356,0.0364283430464583,0.1107915944513009,0.0758055845575908,0.1211672071934047,0.0033032128514056,0.0024497991967871,0.0058655308352074,0.0059834352546906,YSO,0.5578012048192772,0.1211672071934047,0.0,248.37845833333333,-47.42643055555556,1.12,10.52,1.580214771225348e-13,0.80988056312261,,0.128,17.465483,11.713,8.764,9,,337.123077,0.255119,20.922719999999988,extent,J1634-472,
2CXO J163553.4-470037,0.0235240963855421,0.0244979919678714,0.0637198795180722,0.2035793172690763,0.0056977911646586,0.6522389558232932,0.0326221003129918,0.0207606362153055,0.0462844911063132,0.0608343556559624,0.0079439009910332,0.0762645957923524,0.0104668674698795,0.0162751004016064,0.0126871084265739,0.0171112417862438,YSO,0.6522389558232932,0.0762645957923524,1.0,248.972875,-47.01045833333333,1.12,6.5,5.757664186567532e-14,0.9096873883724376,,,,15.686,,5,,337.123077,0.255119,20.922719999999988,extent,J1634-472,
2CXO J163536.2-470548,0.0546234939759036,0.0036345381526104,0.0693574297188755,0.0016164658634538,1.004016064257028e-05,0.0276807228915662,0.0977440705458665,0.0127674591030199,0.0777500101311702,0.0061878053163463,0.0003168621252622,0.0321091491192984,0.3485090361445783,0.4945682730923695,0.2216491657599575,0.2309346627288292,NS,0.4945682730923695,0.2309346627288292,0.0,248.90120833333327,-47.09668888888889,0.76,7.6,1.0195588962867144e-13,0.9710443177345188,,,,,,0,,337.123077,0.255119,20.922719999999988,extent,J1634-472,
2CXO J163553.9-470338,0.0,0.0365060240963855,0.2597590361445783,0.0137751004016064,0.102429718875502,0.5459638554216867,0.0,0.0302159890426334,0.2028067926485615,0.0163444586675618,0.0809498888376967,0.223247782881719,0.0411044176706827,0.0004618473895582,0.0417937642984382,0.0024937207979027,YSO,0.5459638554216867,0.223247782881719,0.0,248.97462499999995,-47.06073333333333,0.82,7.22,3.1295270038607026e-14,0.02856066828804963,0.997,0.955,15.224871,12.404,,6,,337.123077,0.255119,20.922719999999988,extent,J1634-472,
2CXO J163335.6-473011,6.024096385542168e-05,0.1076355421686747,0.0470933734939759,0.0009839357429718,0.0967720883534136,0.0950317938420348,0.0007741979426741,0.0841066366791265,0.0305668443929985,0.0034489446309304,0.1255446316524123,0.0506568424077114,0.594084672021419,0.0583383534136546,0.1474312205552453,0.0647370015660162,LMXB,0.594084672021419,0.1474312205552453,0.0,248.3985833333333,-47.503144444444445,1.25,7.27,8.826496100418088e-15,-0.29107869809764964,,1.0,21.09142,,,3,,337.123077,0.255119,20.922719999999988,extent,J1634-472,
2CXO J163529.6-471643,0.0,0.088433734939759,0.206144578313253,0.0245983935742971,0.2627409638554216,0.2976004016064257,0.0,0.0582919064561925,0.082683602189783,0.0229471614480381,0.1181576205121793,0.0826943573864453,0.1186345381526104,0.0018473895582329,0.0822262045546604,0.0048495768051238,YSO,0.2976004016064257,0.0826943573864453,0.0,248.87349999999995,-47.27878055555556,0.86,6.71,1.1226856822350314e-14,-0.12767266685221276,0.981,1.0,15.731259,13.832,,8,,337.123077,0.255119,20.922719999999988,extent,J1634-472,
2CXO J163620.6-470807,7.028112449799198e-05,0.0473761713520749,0.1248393574297188,0.0003162650602409,0.0576439089692101,0.0500903614457831,0.0008358069078568,0.0361546210327436,0.0600546174960907,0.0018004400651409,0.0525140053185673,0.0290639887953003,0.5497841365461847,0.1698795180722891,0.1408514260148241,0.1105928998155702,LMXB,0.5497841365461847,0.1408514260148241,0.0,249.08591666666663,-47.13538611111111,0.98,6.01,1.1494917301855656e-14,0.0314503353163153,0.997,0.994,18.261675,,,1,,337.123077,0.255119,20.922719999999988,extent,J1634-472,
